lambda	lamp	measure	lamp/measure	 LambdaCalibSp 	 CalibSpline 	Column 7	Lambda Hammamtsu	 factor interpolated with origin 
664.884	0.793231559	0.838395042	0.946131023	 557.50   	 310 806.25   		410.349	1.36377
665.6896	0.794937092	0.839818661	0.946558024	 558.00   	 311 364.00   		410.755	1.36228
666.4952	0.796634825	0.84217612	0.945924262	 558.50   	 311 922.25   		411.161	1.36061
667.3008	0.798341706	0.841550986	0.948655185	 559.00   	 312 481.00   		411.567	1.35743
668.1064	0.800074696	0.839269756	0.953298615	 559.50   	 313 040.25   		411.973	1.35433
668.912	0.801850754	0.83887981	0.955858925	 560.00   	 313 600.00   		412.379	1.35179
669.7176	0.803686839	0.83919062	0.957692829	 560.50   	 314 160.25   		412.786	1.34925
670.5232	0.805596251	0.838940715	0.960254088	 561.00   	 314 721.00   		413.192	1.34669
671.3288	0.807546965	0.839551352	0.961879179	 561.50   	 315 282.25   		413.598	1.34433
672.1344	0.809476346	0.841267808	0.962210059	 562.00   	 315 844.00   		414.004	1.34303
672.94	0.81132118	0.841795035	0.963798962	 562.50   	 316 406.25   		414.411	1.34129
673.7456	0.813018255	0.840696976	0.967076459	 563.00   	 316 969.00   		414.817	1.33733
674.5512	0.814504358	0.839844138	0.969827996	 563.50   	 317 532.25   		415.224	1.33503
675.3568	0.815718632	0.839216906	0.97199976	 564.00   	 318 096.00   		415.63	1.33999
676.1624	0.816672263	0.839344056	0.972988677	 564.50   	 318 660.25   		416.037	1.34439
676.968	0.817460064	0.839755876	0.973449651	 565.00   	 319 225.00   		416.443	1.34659
677.7736	0.818181536	0.839885088	0.974158903	 565.50   	 319 790.25   		416.85	1.34735
678.5792	0.818936181	0.841608559	0.973060661	 566.00   	 320 356.00   		417.257	1.3431
679.3848	0.819823499	0.841087454	0.974718497	 566.50   	 320 922.25   		417.663	1.33985
680.1904	0.820942637	0.843731735	0.972990114	 567.00   	 321 489.00   		418.07	1.33971
680.996	0.82234329	0.843952543	0.974395179	 567.50   	 322 056.25   		418.477	1.33861
681.8016	0.823975432	0.843055427	0.977368042	 568.00   	 322 624.00   		418.884	1.33478
682.6072	0.825777052	0.84257309	0.98006578	 568.50   	 323 192.25   		419.291	1.33089
683.4128	0.827686137	0.840022787	0.985313909	 569.00   	 323 761.00   		419.698	1.3268
684.2184	0.829640672	0.841679644	0.985696492	 569.50   	 324 330.25   		420.105	1.32325
685.024	0.831578647	0.844405869	0.984809175	 570.00   	 324 900.00   		420.512	1.32095
685.8296	0.833451546	0.84392783	0.98758628	 570.50   	 325 470.25   		420.919	1.31928
686.6352	0.835260242	0.842446586	0.991469673	 571.00   	 326 041.00   		421.326	1.31892
687.4408	0.837016894	0.844909849	0.990658228	 571.50   	 326 612.25   		421.734	1.31782
688.2464	0.838733663	0.846088476	0.991307276	 572.00   	 327 184.00   		422.141	1.31536
689.052	0.84042271	0.846823915	0.992440925	 572.50   	 327 756.25   		422.548	1.31393
689.8576	0.842096195	0.840186513	1.002272926	 573.00   	 328 329.00   		422.956	1.31428
690.6632	0.843766393	0.841698381	1.002456951	 573.50   	 328 902.25   		423.363	1.31344
691.4688	0.845446347	0.845178016	1.000317484	 574.00   	 329 476.00   		423.771	1.31072
692.2744	0.847149427	0.850772027	0.995741984	 574.50   	 330 050.25   		424.178	1.30701
693.08	0.848889003	0.846657449	1.002635722	 575.00   	 330 625.00   		424.586	1.30187
693.8856	0.850678445	0.84463124	1.00715958	 575.50   	 331 200.25   		424.993	1.29742
694.6912	0.852531125	0.840685435	1.014090514	 576.00   	 331 776.00   		425.401	1.29383
695.4968	0.854457323	0.848669682	1.006819663	 576.50   	 332 352.25   		425.809	1.28879
696.3024	0.856424031	0.853631276	1.003271618	 577.00   	 332 929.00   		426.217	1.28207
697.108	0.85836635	0.85443763	1.004598018	 577.50   	 333 506.25   		426.624	1.27329
697.9136	0.860218637	0.854596193	1.006579064	 578.00   	 334 084.00   		427.032	1.26229
698.7192	0.86191525	0.851967246	1.01167651	 578.50   	 334 662.25   		427.44	1.25035
699.5248	0.863390548	0.853559023	1.011518272	 579.00   	 335 241.00   		427.848	1.23752
700.3304	0.864580941	0.857994228	1.007676874	 579.50   	 335 820.25   		428.256	1.22751
701.136	0.865498027	0.865527673	0.999965747	 580.00   	 336 400.00   		428.664	1.21996
701.9416	0.866248507	0.867963068	0.998024616	 580.50   	 336 980.25   		429.073	1.21353
702.7472	0.866945191	0.868151702	0.998610253	 581.00   	 337 561.00   		429.481	1.20798
703.5528	0.867700884	0.86655174	1.001326111	 581.50   	 338 142.25   		429.889	1.20226
704.3584	0.868628393	0.869813208	0.998637851	 582.00   	 338 724.00   		430.297	1.1964
705.164	0.86984021	0.876984165	0.991853951	 582.50   	 339 306.25   		430.706	1.19113
705.9696	0.871384532	0.881920626	0.988053239	 583.00   	 339 889.00   		431.114	1.18624
706.7752	0.873167548	0.892325905	0.978529866	 583.50   	 340 472.25   		431.522	1.18096
707.5808	0.875076452	0.892504221	0.980473181	 584.00   	 341 056.00   		431.931	1.17544
708.3864	0.876998436	0.888843019	0.986674156	 584.50   	 341 640.25   		432.339	1.17163
709.192	0.878820694	0.894025906	0.982992425	 585.00   	 342 225.00   		432.748	1.16864
709.9976	0.880430417	0.908099561	0.969530715	 585.50   	 342 810.25   		433.157	1.16552
710.8032	0.881744276	0.916457301	0.962122594	 586.00   	 343 396.00   		433.565	1.16235
711.6088	0.882797904	0.914250632	0.965597258	 586.50   	 343 982.25   		433.974	1.15912
712.4144	0.883656943	0.912346343	0.968554266	 587.00   	 344 569.00   		434.383	1.15585
713.22	0.884387034	0.916306875	0.965164682	 587.50   	 345 156.25   		434.792	1.15225
714.0256	0.885053819	0.928956766	0.952739515	 588.00   	 345 744.00   		435.2	1.14854
714.8312	0.88572294	0.936276701	0.946005533	 588.50   	 346 332.25   		435.609	1.1471
715.6368	0.886453534	0.93994794	0.943087905	 589.00   	 346 921.00   		436.018	1.14629
716.4424	0.88725517	0.930973892	0.953039798	 589.50   	 347 510.25   		436.427	1.14621
717.248	0.8881146	0.94317241	0.941624872	 590.00   	 348 100.00   		436.836	1.14631
718.0536	0.889018453	0.954066218	0.931820492	 590.50   	 348 690.25   		437.246	1.14532
718.8592	0.889953359	0.950835494	0.935969855	 591.00   	 349 281.00   		437.655	1.14413
719.6648	0.89090595	0.945386456	0.942372237	 591.50   	 349 872.25   		438.064	1.14316
720.4704	0.891862894	0.95593763	0.932971844	 592.00   	 350 464.00   		438.473	1.14222
721.276	0.892811501	0.9681982	0.922137121	 592.50   	 351 056.25   		438.883	1.14198
722.0816	0.893739596	0.966374982	0.924837265	 593.00   	 351 649.00   		439.292	1.14181
722.8872	0.894635015	0.972950548	0.91950718	 593.50   	 352 242.25   		439.701	1.14222
723.6928	0.895485597	0.969670476	0.923494753	 594.00   	 352 836.00   		440.111	1.14267
724.4984	0.896279179	0.963115805	0.930603748	 594.50   	 353 430.25   		440.52	1.14256
725.304	0.897004263	0.960089107	0.934292719	 595.00   	 354 025.00   		440.93	1.14241
726.1096	0.897679	0.968127355	0.927232347	 595.50   	 354 620.25   		441.339	1.13989
726.9152	0.898362425	0.978407858	0.918188072	 596.00   	 355 216.00   		441.749	1.13743
727.7208	0.899116555	0.985894844	0.911980178	 596.50   	 355 812.25   		442.159	1.13682
728.5264	0.900003411	0.983948555	0.914685434	 597.00   	 356 409.00   		442.569	1.13608
729.332	0.90108501	0.969839368	0.929107479	 597.50   	 357 006.25   		442.978	1.13379
730.1376	0.902423237	0.964106796	0.936019994	 598.00   	 357 604.00   		443.388	1.13142
730.9432	0.904037304	0.965446954	0.936392518	 598.50   	 358 202.25   		443.798	1.12839
731.7488	0.905843037	0.973709303	0.930301306	 599.00   	 358 801.00   		444.208	1.12551
732.5544	0.907740912	0.990595643	0.916358677	 599.50   	 359 400.25   		444.618	1.12356
733.36	0.909631408	0.978632015	0.929492796	 600.00   	 360 000.00   		445.028	1.12133
734.1656	0.911415	0.973719407	0.936014004	 600.50   	 360 600.25   		445.438	1.11783
734.9712	0.912992167	0.965961228	0.945164402	 601.00   	 361 201.00   		445.848	1.11483
735.7768	0.914287713	0.957943266	0.95442783	 601.50   	 361 802.25   		446.259	1.11365
736.5824	0.915334785	0.968523793	0.945082394	 602.00   	 362 404.00   		446.669	1.11216
737.388	0.916196674	0.974914949	0.939770874	 602.50   	 363 006.25   		447.079	1.10977
738.1936	0.916936675	0.974382939	0.941043443	 603.00   	 363 609.00   		447.489	1.10705
738.9992	0.917618081	0.961245639	0.954613519	 603.50   	 364 212.25   		447.9	1.10351
739.8048	0.918304187	0.955437741	0.961134512	 604.00   	 364 816.00   		448.31	1.10035
740.6104	0.919052446	0.96728786	0.95013334	 604.50   	 365 420.25   		448.721	1.09794
741.416	0.919870764	0.973856622	0.94456488	 605.00   	 366 025.00   		449.131	1.09523
742.2216	0.920742068	0.964598953	0.954533555	 605.50   	 366 630.25   		449.542	1.09197
743.0272	0.921649098	0.952578372	0.967530993	 606.00   	 367 236.00   		449.952	1.08903
743.8328	0.92257459	0.946636033	0.974582161	 606.50   	 367 842.25   		450.363	1.08658
744.6384	0.923501282	0.950785458	0.971303541	 607.00   	 368 449.00   		450.774	1.08365
745.444	0.924412554	0.959100725	0.963832608	 607.50   	 369 056.25   		451.185	1.08013
746.2496	0.925303534	0.962334704	0.961519448	 608.00   	 369 664.00   		451.595	1.07702
747.0552	0.926179631	0.964915942	0.959855249	 608.50   	 370 272.25   		452.006	1.07435
747.8608	0.927046603	0.95501551	0.970713662	 609.00   	 370 881.00   		452.417	1.07149
748.6664	0.927910203	0.946026502	0.980850115	 609.50   	 371 490.25   		452.828	1.06844
749.472	0.92877619	0.937723769	0.990458193	 610.00   	 372 100.00   		453.239	1.06533
750.2776	0.92965024	0.933641547	0.995725011	 610.50   	 372 710.25   		453.65	1.06216
751.0832	0.930533678	0.937352238	0.992725722	 611.00   	 373 321.00   		454.061	1.05875
751.8888	0.931421283	0.945854999	0.984740033	 611.50   	 373 932.25   		454.472	1.05518
752.6944	0.932307294	0.953160627	0.97812191	 612.00   	 374 544.00   		454.884	1.05149
753.5	0.933185948	0.957819596	0.974281537	 612.50   	 375 156.25   		455.295	1.04776
754.3056	0.934051484	0.947402114	0.98590817	 613.00   	 375 769.00   		455.706	1.04384
755.1112	0.93489815	0.931270183	1.003895719	 613.50   	 376 382.25   		456.117	1.03983
755.9168	0.935725817	0.920546446	1.016489521	 614.00   	 376 996.00   		456.529	1.03607
756.7224	0.936549315	0.924851331	1.012648502	 614.50   	 377 610.25   		456.94	1.0324
757.528	0.937385935	0.94391393	0.993084121	 615.00   	 378 225.00   		457.352	1.02728
758.3336	0.93825297	0.948011565	0.989706248	 615.50   	 378 840.25   		457.763	1.0217
759.1392	0.939167709	0.938873562	1.000313297	 616.00   	 379 456.00   		458.175	1.01766
759.9448	0.940147444	0.922723315	1.018883374	 616.50   	 380 072.25   		458.586	1.014
760.7504	0.941198596	0.915374458	1.028211557	 617.00   	 380 689.00   		458.998	1.00983
761.556	0.942274158	0.911052141	1.034270286	 617.50   	 381 306.25   		459.41	1.00556
762.3616	0.943310731	0.912190166	1.034116313	 618.00   	 381 924.00   		459.822	1.00211
763.1672	0.944244911	0.918394703	1.028147166	 618.50   	 382 542.25   		460.233	0.99877
763.9728	0.945013296	0.926232038	1.020277056	 619.00   	 383 161.00   		460.645	0.99858
764.7784	0.945552484	0.927507936	1.019454871	 619.50   	 383 780.25   		461.057	0.99862
765.584	0.945809441	0.922220236	1.025578712	 620.00   	 384 400.00   		461.469	0.99809
766.3896	0.945829366	0.908484303	1.041106998	 620.50   	 385 020.25   		461.881	0.99746
767.1952	0.945711622	0.894553208	1.057188788	 621.00   	 385 641.00   		462.293	0.99285
768.0008	0.94555614	0.883908132	1.069744814	 621.50   	 386 262.25   		462.705	0.98849
768.8064	0.94546285	0.884711502	1.068667976	 622.00   	 386 884.00   		463.118	0.98786
769.612	0.945531683	0.896199939	1.055045467	 622.50   	 387 506.25   		463.53	0.98721
770.4176	0.945858774	0.910224174	1.039149256	 623.00   	 388 129.00   		463.942	0.98646
771.2232	0.946460066	0.908601366	1.041667008	 623.50   	 388 752.25   		464.354	0.98554
772.0288	0.947275065	0.899486662	1.053128529	 624.00   	 389 376.00   		464.767	0.98372
772.8344	0.94824023	0.884723075	1.071793262	 624.50   	 390 000.25   		465.179	0.98216
773.64	0.949292023	0.873172809	1.087175429	 625.00   	 390 625.00   		465.591	0.98157
774.4456	0.950366904	0.867889816	1.09503175	 625.50   	 391 250.25   		466.004	0.98086
775.2512	0.951401744	0.869993753	1.093573075	 626.00   	 391 876.00   		466.416	0.97982
776.0568	0.952362389	0.877280546	1.085584758	 626.50   	 392 502.25   		466.829	0.9788
776.8624	0.953262256	0.889255881	1.071977454	 627.00   	 393 129.00   		467.242	0.97784
777.668	0.95411918	0.884013296	1.079304106	 627.50   	 393 756.25   		467.654	0.97699
778.4736	0.954951	0.865618625	1.103200615	 628.00   	 394 384.00   		468.067	0.97634
779.2792	0.955775553	0.851552518	1.122391787	 628.50   	 395 012.25   		468.48	0.97566
780.0848	0.95661067	0.847562976	1.128660285	 629.00   	 395 641.00   		468.893	0.9749
780.8904	0.957468433	0.86015408	1.113135955	 629.50   	 396 270.25   		469.305	0.97412
781.696	0.958344094	0.866478727	1.106021491	 630.00   	 396 900.00   		469.718	0.97328
782.5016	0.959229843	0.862098373	1.112668662	 630.50   	 397 530.25   		470.131	0.97238
783.3072	0.960117872	0.849670166	1.129988919	 631.00   	 398 161.00   		470.544	0.97141
