lambda	lamp	measure	lamp/measure	 LambdaCalibSp 	 CalibSpline 	Column 7	Lambda Hammamtsu	 factor interpolated with origin 
810.6976	0.978666798	0.767376581	1.275340975	 648.00   	 419 904.00   		484.614	0.94076
811.5032	0.978910063	0.758965392	1.289795389	 648.50   	 420 552.25   		485.029	0.94027
812.3088	0.978955301	0.746047083	1.312189705	 649.00   	 421 201.00   		485.443	0.93964
813.1144	0.978848239	0.739532754	1.323603631	 649.50   	 421 850.25   		485.858	0.93888
813.92	0.9786346	0.739438406	1.323483596	 650.00   	 422 500.00   		486.273	0.93772
814.7256	0.978360112	0.744723324	1.313722937	 650.50   	 423 150.25   		486.688	0.93624
815.5312	0.978070479	0.752088671	1.300472294	 651.00   	 423 801.00   		487.103	0.93516
816.3368	0.977811157	0.753813406	1.297152783	 651.50   	 424 452.25   		487.518	0.93433
817.1424	0.977627439	0.749216766	1.304865939	 652.00   	 425 104.00   		487.932	0.93356
817.948	0.977564616	0.744772844	1.312567481	 652.50   	 425 756.25   		488.348	0.93282
818.7536	0.977667976	0.735216298	1.329769183	 653.00   	 426 409.00   		488.763	0.9315
819.5592	0.977982811	0.719907377	1.35848422	 653.50   	 427 062.25   		489.178	0.92999
820.3648	0.978552309	0.712688222	1.373044031	 654.00   	 427 716.00   		489.593	0.92905
821.1704	0.979358666	0.715152943	1.369439468	 654.50   	 428 370.25   		490.008	0.92826
821.976	0.980315093	0.723262718	1.355406643	 655.00   	 429 025.00   		490.423	0.92736
822.7816	0.981331095	0.736703974	1.332056198	 655.50   	 429 680.25   		490.839	0.92645
823.5872	0.982316174	0.743431976	1.321326236	 656.00   	 430 336.00   		491.254	0.92589
824.3928	0.983179836	0.738312281	1.331658516	 656.50   	 430 992.25   		491.669	0.92536
825.1984	0.983831919	0.724569492	1.357815819	 657.00   	 431 649.00   		492.085	0.92389
826.004	0.984224286	0.71176029	1.38280303	 657.50   	 432 306.25   		492.5	0.92243
826.8096	0.984391259	0.699565017	1.407147636	 658.00   	 432 964.00   		492.916	0.9217
827.6152	0.984376754	0.706037545	1.394227207	 658.50   	 433 622.25   		493.331	0.92091
828.4208	0.984224686	0.71693631	1.372820252	 659.00   	 434 281.00   		493.747	0.91964
829.2264	0.983978968	0.732219187	1.343831172	 659.50   	 434 940.25   		494.162	0.91843
830.032	0.983683515	0.735612747	1.337230111	 660.00   	 435 600.00   		494.578	0.91755
830.8376	0.983383612	0.724895673	1.3565864	 660.50   	 436 260.25   		494.994	0.91634
831.6432	0.983129407	0.704156741	1.396179786	 661.00   	 436 921.00   		495.41	0.91394
832.4488	0.982972127	0.694677552	1.415004881	 661.50   	 437 582.25   		495.825	0.91197
833.2544	0.982962999	0.68993599	1.424716224	 662.00   	 438 244.00   		496.241	0.91109
834.06	0.983153251	0.691734786	1.42128641	 662.50   	 438 906.25   		496.657	0.91005
834.8656	0.983594109	0.702758569	1.399618807	 663.00   	 439 569.00   		497.073	0.90871
835.6712	0.984321026	0.70942993	1.387481673	 663.50   	 440 232.25   		497.489	0.9079
836.4768	0.98526452	0.715294373	1.377425235	 664.00   	 440 896.00   		497.905	0.90785
837.2824	0.986312285	0.715025361	1.379408813	 664.50   	 441 560.25   		498.321	0.90757
838.088	0.987351885	0.709973779	1.390687817	 665.00   	 442 225.00   		498.738	0.90702
838.8936	0.988270888	0.691611818	1.428938695	 665.50   	 442 890.25   		499.154	0.90625
839.6992	0.988956859	0.680703035	1.452846261	 666.00   	 443 556.00   		499.57	0.90528
840.5048	0.989307131	0.675601026	1.464336335	 666.50   	 444 222.25   		499.986	0.90532
841.3104	0.989350805	0.673538371	1.468885586	 667.00   	 444 889.00   		500.403	0.90603
842.116	0.989211545	0.666351495	1.484519136	 667.50   	 445 556.25   		500.819	0.90669
842.9216	0.989015079	0.674697576	1.465864284	 668.00   	 446 224.00   		501.235	0.90732
843.7272	0.988887138	0.689175057	1.434885271	 668.50   	 446 892.25   		501.652	0.90635
844.5328	0.988953449	0.707748637	1.397323	 669.00   	 447 561.00   		502.068	0.9048
845.3384	0.989336734	0.722231967	1.369832381	 669.50   	 448 230.25   		502.485	0.90412
846.144	0.990055561	0.714401812	1.385852533	 670.00   	 448 900.00   		502.902	0.90367
846.9496	0.99100014	0.689655742	1.436949017	 670.50   	 449 570.25   		503.318	0.90339
847.7552	0.992052769	0.658894817	1.505631466	 671.00   	 450 241.00   		503.735	0.90313
848.5608	0.993095745	0.640101168	1.551466853	 671.50   	 450 912.25   		504.152	0.90411
849.3664	0.994011364	0.649741892	1.529855743	 672.00   	 451 584.00   		504.569	0.90518
850.172	0.994682234	0.678201968	1.466646045	 672.50   	 452 256.25   		504.985	0.9052
850.9776	0.995046316	0.692489885	1.436910974	 673.00   	 452 929.00   		505.402	0.90521
851.7832	0.995160506	0.694775361	1.432348586	 673.50   	 453 602.25   		505.819	0.90522
852.5888	0.995097106	0.659052879	1.509889628	 674.00   	 454 276.00   		506.236	0.90522
853.3944	0.994928418	0.636476848	1.563180847	 674.50   	 454 950.25   		506.653	0.90521
854.2	0.994726746	0.634933941	1.566661793	 675.00   	 455 625.00   		507.07	0.90513
855.0056	0.99456439	0.665649745	1.494125698	 675.50   	 456 300.25   		507.487	0.90479
855.8112	0.994495375	0.690388588	1.440486405	 676.00   	 456 976.00   		507.904	0.90457
856.6168	0.994502116	0.672868244	1.478004238	 676.50   	 457 652.25   		508.322	0.90464
857.4224	0.994549496	0.638220388	1.558316712	 677.00   	 458 329.00   		508.739	0.90474
858.228	0.994602399	0.621077518	1.60141427	 677.50   	 459 006.25   		509.156	0.90488
859.0336	0.99462571	0.618404708	1.608373444	 678.00   	 459 684.00   		509.574	0.90492
859.8392	0.99458431	0.641658032	1.55002238	 678.50   	 460 362.25   		509.991	0.90481
860.6448	0.994451912	0.665071318	1.495256049	 679.00   	 461 041.00   		510.408	0.90483
861.4504	0.994267372	0.679697966	1.462807631	 679.50   	 461 720.25   		510.826	0.905
862.256	0.994098718	0.665401078	1.493984231	 680.00   	 462 400.00   		511.243	0.90497
863.0616	0.994014114	0.638034344	1.557931988	 680.50   	 463 080.25   		511.661	0.90479
863.8672	0.994081723	0.618536517	1.607151228	 681.00   	 463 761.00   		512.078	0.90493
864.6728	0.994369708	0.592255471	1.678954026	 681.50   	 464 442.25   		512.496	0.90528
865.4784	0.994940323	0.601862978	1.653101055	 682.00   	 465 124.00   		512.914	0.90524
866.284	0.995765207	0.619395681	1.607639895	 682.50   	 465 806.25   		513.332	0.90504
867.0896	0.996745102	0.642737201	1.55078172	 683.00   	 466 489.00   		513.749	0.90516
867.8952	0.997778861	0.667802445	1.494122802	 683.50   	 467 172.25   		514.167	0.90539
868.7008	0.998765336	0.664983961	1.501938984	 684.00   	 467 856.00   		514.585	0.90513
869.5064	0.999603378	0.660146267	1.514214998	 684.50   	 468 540.25   		515.003	0.90477
870.312	1.000193437	0.630216816	1.58706244	 685.00   	 469 225.00   		515.421	0.90472
871.1176	1.00050291	0.615035036	1.626741327	 685.50   	 469 910.25   		515.839	0.90471
871.9232	1.000589127	0.603973034	1.656678478	 686.00   	 470 596.00   		516.257	0.90468
872.7288	1.000515736	0.604172717	1.656009462	 686.50   	 471 282.25   		516.675	0.90461
873.5344	1.000346385	0.594474797	1.682739773	 687.00   	 471 969.00   		517.093	0.90372
874.34	1.000144721	0.59868657	1.670564818	 687.50   	 472 656.25   		517.512	0.90291
875.1456	0.999974314	0.631185518	1.584279559	 688.00   	 473 344.00   		517.93	0.90274
875.9512	0.999876908	0.647150524	1.545045349	 688.50   	 474 032.25   		518.348	0.90251
876.7568	0.999842845	0.644025198	1.552490257	 689.00   	 474 721.00   		518.766	0.90208
877.5624	0.999855073	0.638099463	1.566926679	 689.50   	 475 410.25   		519.185	0.90158
878.368	0.999896537	0.624798568	1.600350239	 690.00   	 476 100.00   		519.603	0.90091
879.1736	0.999950183	0.60934384	1.641027804	 690.50   	 476 790.25   		520.022	0.90028
879.9792	0.999998958	0.597006857	1.675020892	 691.00   	 477 481.00   		520.44	0.89971
880.7848	1.000029139	0.585576518	1.707768511	 691.50   	 478 172.25   		520.859	0.89915
881.5904	1.000041404	0.579290379	1.726321444	 692.00   	 478 864.00   		521.277	0.8986
882.396	1.00004032	0.582907229	1.715608025	 692.50   	 479 556.25   		521.696	0.89819
883.2016	1.000030455	0.598682164	1.67038625	 693.00   	 480 249.00   		522.115	0.89792
884.0072	1.000016377	0.612811145	1.631850831	 693.50   	 480 942.25   		522.533	0.89756
884.8128	1.000002652	0.603234373	1.657734866	 694.00   	 481 636.00   		522.952	0.89713
885.6184	0.999993412	0.61967566	1.613736794	 694.50   	 482 330.25   		523.371	0.89674
886.424	0.99998921	0.609992271	1.639347345	 695.00   	 483 025.00   		523.79	0.89636
887.2296	0.999988841	0.576570429	1.734374136	 695.50   	 483 720.25   		524.209	0.89586
888.0352	0.999991088	0.555679029	1.799583996	 696.00   	 484 416.00   		524.628	0.89532
888.8408	0.999994737	0.570517541	1.752785262	 696.50   	 485 112.25   		525.047	0.89463
889.6464	0.999998571	0.562503795	1.777763244	 697.00   	 485 809.00   		525.466	0.89392
890.452	1.000001418	0.576010465	1.736082032	 697.50   	 486 506.25   		525.885	0.89372
891.2576	1.000002889	0.601147379	1.663490392	 698.00   	 487 204.00   		526.304	0.89358
892.0632	1.000003258	0.608854296	1.64243443	 698.50   	 487 902.25   		526.723	0.89238
892.8688	1.000002822	0.616082832	1.623162942	 699.00   	 488 601.00   		527.142	0.89118
893.6744	1.000001877	0.597006049	1.675028049	 699.50   	 489 300.25   		527.562	0.89102
894.48	1.00000072	0.585363794	1.708340574	 700.00   	 490 000.00   		527.981	0.8907
895.2856	0.999999646	0.563065788	1.775990778	 700.50   	 490 700.25   		528.4	0.88921
896.0912	0.999998847	0.551654953	1.812725222	 701.00   	 491 401.00   		528.82	0.88777
896.8968	0.999998364	0.542855083	1.842109239	 701.50   	 492 102.25   		529.239	0.8866
897.7024	0.999998227	0.547005363	1.8281324	 702.00   	 492 804.00   		529.659	0.88549
898.508	0.999998465	0.588695286	1.698669054	 702.50   	 493 506.25   		530.078	0.88455
899.3136	0.999999109	0.598342966	1.671280798	 703.00   	 494 209.00   		530.498	0.88366
900.1192	1.000000188	0.586974195	1.703652727	 703.50   	 494 912.25   		530.917	0.88283
900.9248	1.00000162	0.573485485	1.74372612	 704.00   	 495 616.00   		531.337	0.88181
901.7304	1.000003035	0.553487756	1.806730185	 704.50   	 496 320.25   		531.757	0.88052
902.536	1.000004019	0.535368565	1.867879597	 705.00   	 497 025.00   		532.176	0.87957
903.3416	1.000004155	0.529856626	1.887310843	 705.50   	 497 730.25   		532.596	0.87893
904.1472	1.000003029	0.527684323	1.895078147	 706.00   	 498 436.00   		533.016	0.87803
904.9528	1.000000225	0.539597621	1.8532332	 706.50   	 499 142.25   		533.436	0.87696
905.7584	0.999995613	0.553050567	1.808144991	 707.00   	 499 849.00   		533.856	0.87569
906.564	0.999990419	0.564525992	1.771380651	 707.50   	 500 556.25   		534.276	0.87435
907.3696	0.999986275	0.567163598	1.763135501	 708.00   	 501 264.00   		534.696	0.87363
908.1752	0.999984814	0.547679943	1.825856189	 708.50   	 501 972.25   		535.116	0.87311
908.9808	0.999987666	0.5278559	1.894433057	 709.00   	 502 681.00   		535.536	0.87218
909.7864	0.999996463	0.516210447	1.937187572	 709.50   	 503 390.25   		535.956	0.87118
910.592	1.000012326	0.508082184	1.968209785	 710.00   	 504 100.00   		536.376	0.87061
911.3976	1.000031684	0.513839978	1.946192834	 710.50   	 504 810.25   		536.797	0.87008
912.2032	1.000048449	0.540937335	1.848732531	 711.00   	 505 521.00   		537.217	0.86928
913.0088	1.000056509	0.555721052	1.799565639	 711.50   	 506 232.25   		537.637	0.8685
913.8144	1.000049753	0.547394702	1.826926254	 712.00   	 506 944.00   		538.057	0.86787
914.62	1.00002207	0.53111155	1.882885187	 712.50   	 507 656.25   		538.478	0.86733
915.4256	0.999968058	0.509242305	1.963639013	 713.00   	 508 369.00   		538.898	0.86718
916.2312	0.999896683	0.494880466	2.020481211	 713.50   	 509 082.25   		539.319	0.86694
917.0368	0.999830254	0.493610073	2.025546698	 714.00   	 509 796.00   		539.739	0.86645
917.8424	0.999791585	0.499367618	2.002115372	 714.50   	 510 510.25   		540.16	0.86603
918.648	0.999803491	0.504529749	1.981654191	 715.00   	 511 225.00   		540.581	0.86574
919.4536	0.999888787	0.516509897	1.935856009	 715.50   	 511 940.25   		541.001	0.86565
920.2592	1.000069688	0.523765616	1.909384002	 716.00   	 512 656.00   		541.422	0.86584
921.0648	1.000329256	0.524593945	1.906863901	 716.50   	 513 372.25   		541.843	0.86621
921.8704	1.000587961	0.521038641	1.920371891	 717.00   	 514 089.00   		542.264	0.86677
922.676	1.000760653	0.507792341	1.970806909	 717.50   	 514 806.25   		542.684	0.86771
923.4816	1.000762187	0.479436884	2.087370039	 718.00   	 515 524.00   		543.105	0.86893
924.2872	1.000507416	0.463449817	2.158825786	 718.50   	 516 242.25   		543.526	0.86958
925.0928	0.999911259	0.461417318	2.167043194	 719.00   	 516 961.00   		543.947	0.86995
925.8984	0.998949977	0.455349055	2.193811465	 719.50   	 517 680.25   		544.368	0.87025
926.704	0.997774181	0.451954334	2.207688046	 720.00   	 518 400.00   		544.789	0.87053
927.5096	0.996565255	0.453676878	2.196641051	 720.50   	 519 120.25   		545.211	0.87015
928.3152	0.995504584	0.468341168	2.125597002	 721.00   	 519 841.00   		545.632	0.86966
929.1208	0.99477355	0.491299802	2.024779056	 721.50   	 520 562.25   		546.053	0.86897
929.9264	0.994553538	0.50311472	1.976792763	 722.00   	 521 284.00   		546.474	0.86828
930.732	0.994974342	0.495194295	2.00926051	 722.50   	 522 006.25   		546.895	0.86819
931.5376	0.995893976	0.480697001	2.071770731	 723.00   	 522 729.00   		547.317	0.86815
932.3432	0.997081274	0.464545079	2.146360641	 723.50   	 523 452.25   		547.738	0.86849
933.1488	0.998305017	0.44726585	2.232017083	 724.00   	 524 176.00   		548.16	0.86872
933.9544	0.999333986	0.436755712	2.288084528	 724.50   	 524 900.25   		548.581	0.86859
934.76	0.999936964	0.431019549	2.319934135	 725.00   	 525 625.00   		549.003	0.8686
935.5656	0.999907484	0.437173438	2.287210056	 725.50   	 526 350.25   		549.424	0.86899
936.3712	0.999292765	0.449182783	2.22469071	 726.00   	 527 076.00   		549.846	0.86943
937.1768	0.99828885	0.457985948	2.179736853	 726.50   	 527 802.25   		550.267	0.86994
937.9824	0.997093668	0.466436782	2.137682333	 727.00   	 528 529.00   		550.689	0.87051
938.788	0.995905151	0.466918384	2.132931976	 727.50   	 529 256.25   		551.111	0.87114
939.5936	0.99492123	0.451658674	2.20281661	 728.00   	 529 984.00   		551.532	0.87187
940.3992	0.994332755	0.436146547	2.279813431	 728.50   	 530 712.25   		551.954	0.87268
941.2048	0.994164192	0.419966123	2.367248538	 729.00   	 531 441.00   		552.376	0.873
942.0104	0.994271676	0.403229865	2.465768939	 729.50   	 532 170.25   		552.798	0.87306
942.816	0.994503871	0.406480052	2.446624048	 730.00   	 532 900.00   		553.22	0.87374
943.6216	0.994709437	0.41579493	2.392307758	 730.50   	 533 630.25   		553.642	0.87464
944.4272	0.994737037	0.428996571	2.318752886	 731.00   	 534 361.00   		554.064	0.87497
945.2328	0.994436484	0.440870292	2.255621444	 731.50   	 535 092.25   		554.486	0.87519
946.0384	0.993755063	0.446259669	2.226853854	 732.00   	 535 824.00   		554.908	0.87518
946.844	0.992810282	0.435331792	2.280582995	 732.50   	 536 556.25   		555.33	0.87515
947.6496	0.991736782	0.421583043	2.352411463	 733.00   	 537 289.00   		555.753	0.87533
948.4552	0.990669203	0.405313172	2.44420678	 733.50   	 538 022.25   		556.175	0.87554
949.2608	0.989742186	0.394514679	2.508758831	 734.00   	 538 756.00   		556.597	0.87591
950.0664	0.989090348	0.378273777	2.61474733	 734.50   	 539 490.25   		557.019	0.87609
950.872	0.988795751	0.373640416	2.646383282	 735.00   	 540 225.00   		557.442	0.87548
951.6776	0.988776021	0.381812555	2.589689649	 735.50   	 540 960.25   		557.864	0.87473
952.4832	0.988916714	0.401342636	2.464021078	 736.00   	 541 696.00   		558.287	0.87363
953.2888	0.989103386	0.415608263	2.379893457	 736.50   	 542 432.25   		558.709	0.8729
954.0944	0.98922159	0.420764401	2.351010653	 737.00   	 543 169.00   		559.132	0.87277
954.9	0.989156882	0.409718842	2.414233327	 737.50   	 543 906.25   		559.554	0.8726
955.7056	0.988813274	0.384467493	2.571903457	 738.00   	 544 644.00   		559.977	0.87239
956.5112	0.988202264	0.374817952	2.636485949	 738.50   	 545 382.25   		560.4	0.87237
957.3168	0.987374158	0.356701009	2.768072228	 739.00   	 546 121.00   		560.822	0.8725
958.1224	0.986379316	0.35708367	2.762319867	 739.50   	 546 860.25   		561.245	0.87266
958.928	0.985268098	0.36406223	2.706317818	 740.00   	 547 600.00   		561.668	0.87283
959.7336	0.984090863	0.377296174	2.608271518	 740.50   	 548 340.25   		562.091	0.87328
960.5392	0.982897923	0.389975655	2.520408417	 741.00   	 549 081.00   		562.514	0.87382
961.3448	0.981739034	0.391582154	2.50710872	 741.50   	 549 822.25   		562.937	0.87409
962.1504	0.980663599	0.377701758	2.596396701	 742.00   	 550 564.00   		563.359	0.87431
962.956	0.979721017	0.368245294	2.660511983	 742.50   	 551 306.25   		563.783	0.87416
963.7616	0.978960683	0.356909506	2.742882064	 743.00   	 552 049.00   		564.206	0.87401
964.5672	0.978431996	0.335965804	2.912296379	 743.50   	 552 792.25   		564.629	0.87412
965.3728	0.978181693	0.3331913	2.935796023	 744.00   	 553 536.00   		565.052	0.87416
966.1784	0.978183187	0.339082629	2.884792977	 744.50   	 554 280.25   		565.475	0.8738
966.984	0.978329079	0.349697202	2.797646291	 745.00   	 555 025.00   		565.898	0.87346
967.7896	0.978507812	0.360638359	2.713266039	 745.50   	 555 770.25   		566.322	0.87318
968.5952	0.978607828	0.36105422	2.710417917	 746.00   	 556 516.00   		566.745	0.8729
969.4008	0.978517568	0.355792181	2.750250345	 746.50   	 557 262.25   		567.168	0.87263
970.2064	0.978126135	0.346821334	2.820259423	 747.00   	 558 009.00   		567.592	0.87239
971.012	0.977397835	0.338043661	2.891336088	 747.50   	 558 756.25   		568.015	0.8722
971.8176	0.976440565	0.326665163	2.989117533	 748.00   	 559 504.00   		568.439	0.87164
972.6232	0.975378379	0.315549341	3.091048697	 748.50   	 560 252.25   		568.862	0.87077
973.4288	0.974335334	0.307389279	3.169711501	 749.00   	 561 001.00   		569.286	0.87032
974.2344	0.973435484	0.300463539	3.239779065	 749.50   	 561 750.25   		569.709	0.87012
975.04	0.97280288	0.296611745	3.279718009	 750.00   	 562 500.00   		570.133	0.87016
975.8456	0.972516116	0.294517551	3.302065062	 750.50   	 563 250.25   		570.557	0.8703
976.6512	0.97249706	0.29680952	3.276502246	 751.00   	 564 001.00   		570.98	0.87081
977.4568	0.972633827	0.305036398	3.188582845	 751.50   	 564 752.25   		571.404	0.8714
978.2624	0.972814534	0.314663572	3.091602019	 752.00   	 565 504.00   		571.828	0.87157
979.068	0.972927296	0.324404152	2.999120978	 752.50   	 566 256.25   		572.252	0.87171
979.8736	0.972860232	0.33209645	2.929450858	 753.00   	 567 009.00   		572.676	0.87173
980.6792	0.972517694	0.324703229	2.995097087	 753.50   	 567 762.25   		573.1	0.87181
981.4848	0.97190874	0.315239038	3.083084974	 754.00   	 568 516.00   		573.524	0.87221
982.2904	0.971083966	0.293863111	3.304545308	 754.50   	 569 270.25   		573.948	0.87262
983.096	0.970094071	0.279106456	3.475713479	 755.00   	 570 025.00   		574.372	0.87307
983.9016	0.968989757	0.276332291	3.506610658	 755.50   	 570 780.25   		574.796	0.87333
984.7072	0.967821724	0.279425013	3.463618782	 756.00   	 571 536.00   		575.22	0.87323
985.5128	0.966640447	0.290082238	3.332297949	 756.50   	 572 292.25   		575.644	0.87301
986.3184	0.965493482	0.296304723	3.258447836	 757.00   	 573 049.00   		576.069	0.87264
987.124	0.964426343	0.295894584	3.25935787	 757.50   	 573 806.25   		576.493	0.87205
987.9296	0.9634845	0.290961235	3.311384414	 758.00   	 574 564.00   		576.917	0.87127
988.7352	0.962713426	0.285812756	3.368336102	 758.50   	 575 322.25   		577.342	0.87047
989.5408	0.962158593	0.273656315	3.515937832	 759.00   	 576 081.00   		577.766	0.86965
990.3464	0.961863594	0.261638715	3.67630454	 759.50   	 576 840.25   		578.191	0.86955
991.152	0.961810491	0.257267455	3.738562622	 760.00   	 577 600.00   		578.615	0.8697
991.9576	0.961907458	0.254926891	3.77326791	 760.50   	 578 360.25   		579.04	0.86967
992.7632	0.962058296	0.258076933	3.727796531	 761.00   	 579 121.00   		579.464	0.8696
993.5688	0.962166809	0.264053412	3.643834036	 761.50   	 579 882.25   		579.889	0.86947
994.3744	0.962136798	0.270869312	3.552033237	 762.00   	 580 644.00   		580.314	0.86933
995.18	0.961872368	0.279443674	3.442097481	 762.50   	 581 406.25   		580.738	0.86901
995.9856	0.961326082	0.282423554	3.403845279	 763.00   	 582 169.00   		581.163	0.86879
996.7912	0.960551778	0.278433252	3.449845776	 763.50   	 582 932.25   		581.588	0.86918
997.5968	0.959615996	0.269965186	3.554591648	 764.00   	 583 696.00   		582.013	0.86979
998.4024	0.958585277	0.261791049	3.661642669	 764.50   	 584 460.25   		582.438	0.87108
999.208	0.95752616	0.254692277	3.759541398	 765.00   	 585 225.00   		582.862	0.87227
1000.0136	0.956505185	0.245921999	3.889465725	 765.50   	 585 990.25   		583.287	0.87329
1000.8192	0.955571347	0.242588558	3.939061907	 766.00   	 586 756.00   		583.713	0.87404
1001.6248	0.954706929	0.246499731	3.873054651	 766.50   	 587 522.25   		584.138	0.87447
1002.4304	0.953878359	0.251197681	3.797321519	 767.00   	 588 289.00   		584.563	0.87451
1003.236	0.953052063	0.254238274	3.748656905	 767.50   	 589 056.25   		584.988	0.87423
1004.0416	0.952194469	0.25526456	3.730225878	 768.00   	 589 824.00   		585.413	0.87382
1004.8472	0.951272006	0.25496506	3.730989668	 768.50   	 590 592.25   		585.838	0.87335
1005.6528	0.950260085	0.247402207	3.840952333	 769.00   	 591 361.00   		586.263	0.87332
1006.4584	0.949198369	0.241850227	3.92473632	 769.50   	 592 130.25   		586.689	0.87343
1007.264	0.948154492	0.239885656	3.952526832	 770.00   	 592 900.00   		587.114	0.87387
1008.0696	0.947196203	0.233696692	4.053100601	 770.50   	 593 670.25   		587.54	0.87435
1008.8752	0.946391253	0.231850614	4.081900997	 771.00   	 594 441.00   		587.965	0.87413
1009.6808	0.945807391	0.222971134	4.241837828	 771.50   	 595 212.25   		588.39	0.87388
1010.4864	0.945506176	0.212176703	4.456220501	 772.00   	 595 984.00   		588.816	0.87349
1011.292	0.945457889	0.209690209	4.508831831	 772.50   	 596 756.25   		589.242	0.87322
1012.0976	0.945563245	0.212029744	4.459578292	 773.00   	 597 529.00   		589.667	0.87345
1012.9032	0.945721205	0.216829548	4.361588232	 773.50   	 598 302.25   		590.093	0.87375
1013.7088	0.945830735	0.218170272	4.335286954	 774.00   	 599 076.00   		590.518	0.87422
1014.5144	0.945790796	0.217948223	4.339520554	 774.50   	 599 850.25   		590.944	0.87483
1015.32	0.945502071	0.215466792	4.38815682	 775.00   	 600 625.00   		591.37	0.87564
1016.1256	0.94493322	0.212625771	4.444114251	 775.50   	 601 400.25   		591.796	0.87633
1016.9312	0.944141848	0.204759921	4.610969972	 776.00   	 602 176.00   		592.222	0.8769
1017.7368	0.943191575	0.197355128	4.779159204	 776.50   	 602 952.25   		592.648	0.87781
1018.5424	0.942146017	0.1910817	4.930592602	 777.00   	 603 729.00   		593.073	0.8789
1019.348	0.941068793	0.186573768	5.043950195	 777.50   	 604 506.25   		593.499	0.8796
1020.1536	0.940023426	0.185041512	5.0800678	 778.00   	 605 284.00   		593.925	0.88015
1020.9592	0.939051123	0.185365374	5.065946786	 778.50   	 606 062.25   		594.352	0.88101
1021.7648	0.938141964	0.18594807	5.045182585	 779.00   	 606 841.00   		594.778	0.88193
1022.5704	0.937278906	0.186199598	5.033732167	 779.50   	 607 620.25   		595.204	0.88257
1023.376	0.936444902	0.183684202	5.098124356	 780.00   	 608 400.00   		595.63	0.88312
1024.1816	0.935622909	0.179919852	5.200220524	 780.50   	 609 180.25   		596.056	0.88254
1024.9872	0.934795882	0.175680489	5.320999999	 781.00   	 609 961.00   		596.482	0.88205
1025.7928	0.933950208	0.172244623	5.42223144	 781.50   	 610 742.25   		596.909	0.88202
1026.5984	0.933086673	0.167089489	5.584352902	 782.00   	 611 524.00   		597.335	0.8821
1027.404	0.932209838	0.161063655	5.787834881	 782.50   	 612 306.25   		597.762	0.88246
1028.2096	0.931324264	0.157311325	5.920262025	 783.00   	 613 089.00   		598.188	0.88269
1029.0152	0.930434514	0.154216985	6.033281684	 783.50   	 613 872.25   		598.614	0.88274
1029.8208	0.929545148	0.153123017	6.070577556	 784.00   	 614 656.00   		599.041	0.88297
1030.6264	0.928660275	0.155696296	5.964562415	 784.50   	 615 440.25   		599.468	0.88337
1031.432	0.927780419	0.156346479	5.934130577	 785.00   	 616 225.00   		599.894	0.88343
1032.2376	0.92690439	0.153974694	6.019848866	 785.50   	 617 010.25   		600.321	0.88329
1033.0432	0.926030985	0.149605877	6.189803527	 786.00   	 617 796.00   		600.747	0.88369
1033.8488	0.925159007	0.145599762	6.354124437	 786.50   	 618 582.25   		601.174	0.88429
1034.6544	0.924287252	0.140550034	6.576215075	 787.00   	 619 369.00   		601.601	0.88565
1035.46	0.923414567	0.136082644	6.785689486	 787.50   	 620 156.25   		602.028	0.88714
1036.2656	0.922540548	0.13170482	7.004607323	 788.00   	 620 944.00   		602.455	0.8881
1037.0712	0.921665416	0.129424611	7.121253143	 788.50   	 621 732.25   		602.881	0.88902
1037.8768	0.920789411	0.129045143	7.1354054	 789.00   	 622 521.00   		603.308	0.88994
1038.6824	0.919912776	0.129697691	7.092745982	 789.50   	 623 310.25   		603.735	0.89079
1039.488	0.919035749	0.130588289	7.037658225	 790.00   	 624 100.00   		604.162	0.8913
1040.2936	0.918158573	0.128427901	7.149214212	 790.50   	 624 890.25   		604.589	0.89175
1041.0992	0.917281486	0.124552795	7.364599791	 791.00   	 625 681.00   		605.017	0.89206
1041.9048	0.916404726	0.119175282	7.689553634	 791.50   	 626 472.25   		605.444	0.8924
1042.7104	0.915528532	0.115235518	7.944846778	 792.00   	 627 264.00   		605.871	0.89277
1043.516	0.914653141	0.113106157	8.086678645	 792.50   	 628 056.25   		606.298	0.89309
1044.3216	0.913778791	0.110973796	8.234185226	 793.00   	 628 849.00   		606.725	0.89335
1045.1272	0.912905719	0.110059979	8.294620133	 793.50   	 629 642.25   		607.153	0.89341
1045.9328	0.912033796	0.109285157	8.345449853	 794.00   	 630 436.00   		607.58	0.89334
1046.7384	0.911161971	0.108850191	8.37078893	 794.50   	 631 230.25   		608.007	0.89312
1047.544	0.910289054	0.107373119	8.477811387	 795.00   	 632 025.00   		608.435	0.89284
1048.3496	0.909413851	0.105480294	8.621646876	 795.50   	 632 820.25   		608.862	0.89298
1049.1552	0.90853517	0.102551821	8.859278737	 796.00   	 633 616.00   		609.29	0.89318
1049.9608	0.907651819	9.97E-02	9.107041019	 796.50   	 634 412.25   		609.717	0.89382
1050.7664	0.906763427	9.70E-02	9.350478267	 797.00   	 635 209.00   		610.145	0.89448
1051.572	0.905873426	9.44E-02	9.598701004	 797.50   	 636 006.25   		610.573	0.89512
1052.3776	0.904986346	9.21E-02	9.829695617	 798.00   	 636 804.00   		611	0.89575
1053.1832	0.904106718	8.98E-02	10.07327058	 798.50   	 637 602.25   		611.428	0.89632
